Headline,Scraped Content,Question_Mistral,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
NASA’s Perseverance rover finds its first possible hint of ancient life on Mars,"NASA's Perseverance rover discovered “leopard spots” on a reddish rock nicknamed “Cheyava Falls” in Mars' Jezero Crater in July 2024. Scientists think the spots may indicate that, billions of years ago, the chemical reactions in this rock could have supported microbial life; other explanations are being considered.","""Has NASA officially announced the discovery of possible ancient life by the Perseverance rover on Mars?""",True,True,False
Sepsis tests take days  putting patients at risk. A new method may cut wait time,"What are the new biomarkers for sepsis? A wide range of sepsis biomarkers has been described, including fluid phase pattern recognition molecules (PRMs), cytokines, chemokines, damage-associated molecular patterns (DAMPs), non-coding RNAs, microRNAs, cell membrane receptors, cell proteins, metabolites, soluble receptors and complement system components. 2.","""Is there a recent study or research that shows a new method for sepsis tests that significantly reduces wait time, potentially lowering patient risk?""",True,True,False
Nasa's DART asteroid unlocks complex history of twin space rock targets; see pics,"Did DART change the trajectory of the asteroid? Immediately after impact, DART reduced the average distance between the two asteroids, shortening Dimorphos' orbital period by 32 minutes and 42 seconds, to 11 hours, 22 minutes, and 37 seconds.","""Has NASA's DART mission provided evidence of a complex history between its twin asteroid targets?""",True,True,False
Say goodbye to back pain  patients go for advanced endoscopy spine surgery for sciatica,What is the best surgery for sciatica? Microdiscectomy for Sciatica  Research shows up to 86% of patients may experience sciatica pain relief after a microdiscectomy surgery.,"""Has 'advanced endoscopy spine surgery for sciatica' been proven effective in reducing back pain for patients?""",True,False,False
Neurodivergent children more likely to develop chronic fatigue as teen  study finds,A recent study published in BMJ Open reports that neurodivergent traits in childhood increase the risk of chronic disabling fatigue (CDF) at 18 years.,"""Is there a peer-reviewed study titled 'Neurodivergent children more likely to develop chronic fatigue as teen' published in a reputable scientific journal?""",True,True,True
In 2023  India’s Space tech sector secured record $126 million in funding,"Cannot retrieve articles, most likely to be false","2023 India's Space tech sector funding amount: site:indianexpress.com ""In 2023 India’s Space tech sector secured record $126 million in funding""",True,False,False
Mercury's mysteries: Could a diamond layer lie beneath the planet's crust?,"MercuryMercuryIn English, it is named after the ancient Roman god Mercurius (Mercury), god of commerce and communication, and the messenger of the gods.https://en.wikipedia.org › wiki › Mercury_(planet)Mercury (planet) - Wikipedia has a sizable diamond layer beneath its surface, which has been discovered through unexpected research. This discovery, which contradicts earlier theories regarding the makeup of the planet, was made possible by data from NASA's MESSENGER satellite.","""Has NASA or any other credible space agency found evidence of a diamond layer beneath Mercury's crust?""",True,False,False
Sunita Williams still stuck in space  no return date yet for Boeing Starliner,"The American space agency has said Sunita Williams and Butch WilmoreButch WilmoreBarry Eugene ""Butch"" Wilmore (born December 29, 1962) is a NASA astronaut and United States Navy test pilot. He has had three spaceflights, the first of which was an 11-day Space Shuttle mission in November 2009, to the International Space Station.https://en.wikipedia.org › wiki › Barry_E._WilmoreBarry E. Wilmore - Wikipedia - who are on the International Space Station (ISS) - will not return to Earth until February 2025. It said the Boeing Starliner spacecraft they went into space on would return to Earth un-crewed.","""Is Sunita Williams currently in space and is there no return date yet for Boeing Starliner?""",True,False,True
Hidden ocean in Uranus' moon Ariel? Nasa's James telescope close to a new discovery,"Webb Telescope Reveals the Possibility of a Hidden Ocean on a Uranus Moon. Researchers found carbon-rich minerals throughout the surface of Uranus' moon Ariel, possibly created from an underground ocean. Researchers say Uranus' moon Ariel is coated with significant carbon dioxide ice.","""Has NASA's James Webb Telescope made a discovery of a hidden ocean in Uranus' moon Ariel?""",True,False,True
Tomba del Cerbero: Archaeologists unseal 2 000-year-old tomb in Italy,"In 2023, archaeologists made a remarkable discovery in Giugliano when they unearthed the perimeter of an ancient necropolis. This finding led them to uncover a structure that was later identified as the entrance to a chamber tomb, now known as the 'tomb of Cerberus. '","2000-year-old tomb in Italy: ""Is there a recent news article or archaeological report confirming the discovery and unsealing of a 2000-year-old tomb in Italy named Tomba del Cerbero?""",True,True,True
Wayanad's deadly landslides: Why climate change can not be ignored,"The deadly landslides in Kerala's ecologically fragile Wayanad district were triggered by a heavy burst of rainfall, made 10 per cent heavier by climate change, according to a new rapid attribution study by a global team of scientists.","""Has Wayanad experienced deadly landslides recently due to climate change impacts?""",True,True,True
People born blind develop unique fingerprint-like pattern in the brain,A study led by Georgetown University neuroscientists reveals that the part of the brain that receives and processes visual information in sighted people develops a unique connectivity pattern in people born blind. They say this pattern in the primary visual cortex is unique to each person — akin to a fingerprint.,"""Does research show that people born blind develop a unique fingerprint-like pattern in the brain?""",True,False,True
Asteroid on which Earth crashed a spacecraft had a mysterious origin,"Did NASA discover an asteroid? Scientists at NASA's Jet Propulsion Laboratory in Southern California recently tracked two asteroids as they flew by our planet. One turned out to have a little moon orbiting it, while the other had been discovered only 13 days before its closest approach to Earth.","""Has the asteroid where Earth's spacecraft allegedly crashed been identified and its origin confirmed?""",True,True,True
Scientists mind-control mice in world's first experiment,"Did scientists use magnetism to mind control mice in world's first experiment? In a world-first experiment, researchers at the Center for Nanomedicine within the Institute for Basic Science (IBS) and Yonsei University in South Korea have successfully demonstrated the ability to control specific brain regions in mice using magnetic fields.","""Has there been a peer-reviewed publication on the 'world's first experiment' of scientists mind-controlling mice?""",True,True,True
Nisar  the joint Nasa-Isro mission  won't launch in 2024,NASA plans to launch the spacecraft in January 2024.,2024 Nisar mission launch date in official NASA or ISRO schedule?,True,False,False
July 21  2024 was the hottest day on Earth  record broken on July 22,"July 22, 2024, was the hottest day on record, according to a NASA analysis of global daily temperature data. July 21 and 23 of this year also exceeded the previous daily record, set in July 2023.","""Has July 22, 2024 been officially recorded as the hottest day on Earth?""",True,False,True
Life on Earth began 1.5 years earlier than science previously estimated,"When did life on Earth begin? Earth is about 4.5 billion years old. Scientists think that by 4.3 billion years ago, Earth may have developed conditions suitable to support life. The oldest known fossils, however, are only 3.7 billion years old.","1. ""When did life on Earth begin according to the latest scientific research?""",True,False,False
A secret Chinese plane is flying in space. No one knows what it does,"That mysterious Chinese space plane has been newly caught on camera by a satellite watcher who snagged new imagery of the high-flying robotic vehicle. China's space plane, now circling Earth on its third flight, was lobbed into orbit on Dec. 14, 2023 by a Long March 2F rocket.","1. ""Has a secret Chinese spaceplane been launched and is currently orbiting Earth, as reported in [headline]?""",True,True,True
Discovery in Ladakh could forever change search for alien life Ladakh's harsh climate  characterised by high UV radiation  extreme temperature fluctuations  and limited water availability  makes it an ideal terrestrial analogue for Martian conditions.,"Would alien life have DNA? Alien life could have genetic code with, say, different bases. NASA-supported 2019 research, from the Foundation for Applied Molecular Evolution, successfully created synthetic DNA that used the four old-school bases and four new ones: P, Z, B and S.","1. ""Has a significant discovery related to the search for alien life been made in Ladakh, given its Martian-like conditions?""",True,True,False
Lithium deposits estimated at 1 600 tonnes found in Karnataka,"Recently, the Atomic Minerals Directorate confirmed the discovery of 1,600 tonnes of lithium in Mandya and initial surveys in Yadgiri, Karnataka. The exploration extends to Chhattisgarh's Korba.","1. ""Has a lithium deposit of 1600 tonnes been confirmed in Karnataka, India?""",True,True,True
Say cheese: Japanese scientists make robot face 'smile' with living skin,"TOKYO, July 18 (Reuters) - Japanese scientists have devised a way to attach living skin tissue to robotic faces and make them ""smile,"" in a breakthrough that holds out promise of applications in cosmetics and medicine.","""Has a Japanese research team successfully created a robot face with living human skin that can smile?""",True,True,True
Butchered animal bones indicate earliest human presence in southern South America,"A method called radiocarbon dating determined that the fossils were about 21,000 years old. National University of La Plata paleontologist and study co-author Martin de Los Reyes said, ""This would be the first evidence of humans in Argentina and the Southern Cone of South America.""","""Has archaeological evidence of butchered animal bones in southern South America been scientifically dated to confirm the earliest human presence?""",True,True,False
Climate change causing more change in rainfall  fiercer typhoons  scientists say,"The proportion of severe TCs (category 4 & 5) has increased, possibly due to anthropogenic climate change. This proportion of intense TCs is projected to increase further, bringing a greater proportion of storms having more damaging wind speeds, higher storm surges, and more extreme rainfall rates.","""Has a recent peer-reviewed study by scientists confirmed a correlation between climate change and an increase in rainfall intensity, as well as the frequency and severity of typhoons?""",True,True,False
Indian scientists build breakthrough gene-editor,"Scientists from the CSIR-Institute of Genomics and Integrative Biology, New Delhi, have developed an enhanced genome-editinggenome-editingGenome editing, or genome engineering, or gene editing, is a type of genetic engineering in which DNA is inserted, deleted, modified or replaced in the genome of a living organism.https://en.wikipedia.org › wiki › Genome_editingGenome editing - Wikipedia system that can modify DNA more precisely and more efficiently than existing CRISPR-based technologies.","""Has any Indian scientific team recently developed a breakthrough gene-editor?""",True,True,True
Human DNA will have to be edited if humans are to settle on other planets,"Are there any genetic technologies currently in use at the ISS? May 2019 – NASA astronaut Christina Koch performs the first CRISPR-Cas9 gene editing on station, using yeast to mimic the effects of space radiation on human DNA. February 2021 – The crew performed more than 800 microbial sample collections throughout station for the 3DMM experiment.","""Has the International Space Station (ISS) released a statement on the necessity of editing human DNA for interplanetary colonization?""",True,True,False
Surprising ‘dark oxygen’ discovery could ensnarl deep-sea mining | Explained,"Researchers from Boston University have made a startling discovery: rocks are producing “dark oxygen” in a region currently under exploration for deep-sea mining. Over 12,000 feet beneath the Pacific Ocean's surface, in the Clarion-Clipperton Zone (CCZ), ancient rocks, millions of years old, blanket the seafloor.","""Has a 'dark oxygen' discovery been made that could impact deep-sea mining?""",True,True,False
