Headline,Scraped Content,Question_phi,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
NASA’s Perseverance rover finds its first possible hint of ancient life on Mars,Did Perseverance find evidence of life on Mars? Scientists working with NASA's Perseverance rover state emphatically that they are not claiming to have discovered life on Mars. But many would regard a rock that the rover just finished studying as “Most Likely to Contain Fossilized Microbial Martians.”,"""Has NASA's Perseverance rover discovered evidence of ancient life on Mars?""",True,False,False
Sepsis tests take days  putting patients at risk. A new method may cut wait time,"How long does it take for sepsis test results? Within 10 minutes, the test can identify whether a patient has a high, medium, or low probability of developing sepsis, according to clinical trial results.","""What is the current average wait time for sepsis test results before the new method was introduced?""",True,False,False
Nasa's DART asteroid unlocks complex history of twin space rock targets; see pics,"DART was the first-ever mission dedicated to investigating and demonstrating one method of asteroid deflection by changing an asteroid's motion in space through kinetic impact. On Sept. 26, 2022, DART impacted the asteroid moonlet Dimorphos, a small body just 530 feet (160 meters) in diameter.","""What is the history of NASA's DART mission and its twin space rock targets?""",True,True,False
Say goodbye to back pain  patients go for advanced endoscopy spine surgery for sciatica,"Endoscopic spine surgery is as effective as the MIS microdiscectomy procedure at relieving painful spine conditions. However, unlike MIS, endoscopic spine surgery significantly reduces trauma to the patient's muscles and soft tissue leading to faster recovery.","""What are the benefits of advanced endoscopy spine surgery for sciatica patients in terms of alleviating back pain?""",True,False,False
Neurodivergent children more likely to develop chronic fatigue as teen  study finds,Results Children with neurodivergent traits at ages 7 and 9 years were two times as likely to experience chronic disabling fatigue at age 18 years (likely ADHD OR=2.18 (95% CI=1.33 to 3.56); p=0.002; likely autism OR=1.78 (95% CI=1.17 to 2.72); p=0.004).,"""What does the study find about the likelihood of neurodivergent children developing chronic fatigue as teenagers?""",True,True,True
In 2023  India’s Space tech sector secured record $126 million in funding,"India's space tech sector experienced remarkable growth in 2023, securing $126 million in funding, a 7% increase from 2022 and a 235% jump from 2021. Skyroot Aerospace, Pixxel, and Agnikul led the funding with $99.8 million, $71.7 million, and $61.5 million, respectively.","""How much funding did India's space technology sector secure in 2023?""",True,True,True
Mercury's mysteries: Could a diamond layer lie beneath the planet's crust?,"Mercury may have a thick layer of diamonds hundreds of miles below its surface, a new study shows. The findings, published June 14 in the journal Nature Communications, may help solve mysteries about the planet's composition and peculiar magnetic field.","""Is there scientific evidence supporting the existence of a diamond layer beneath Mercury's crust?""",True,False,True
Sunita Williams still stuck in space  no return date yet for Boeing Starliner,"While Boeing's Starliner will begin its return journey on 6 September, its two-member crew will ride back home on the SpaceX Dragon Crew-9 mission in February 2025. NASA's Boeing Crew Flight Test mission, which was to return by mid-June 2024, has now been delayed by eight months.","""What is the current status of Sunita Williams' space mission and the Boeing Starliner's return date?""",True,False,True
Hidden ocean in Uranus' moon Ariel? Nasa's James telescope close to a new discovery,"The James Webb Space Telescope (JWST) has discovered a potential subsurface ocean on Ariel, one of Uranus' moons. Led by Richard Cartwright, the team detected unusually high levels of carbon dioxide and carbon monoxide on Ariel's surface, suggesting internal geological processes.","""Is there a recent discovery by NASA's James telescope suggesting the presence of a hidden ocean in Uranus' moon Ariel?""",True,True,True
Tomba del Cerbero: Archaeologists unseal 2 000-year-old tomb in Italy,"Archaeologists opened the Tomba del Cerbero in Giugliano, Italy, finding a 2,000-year-old mummy in a well-preserved condition. The experts also discovered medical supplies.",What is the significance of the Tomba del Cerbero in Italian archaeology and what discoveries were made upon its unsealing?,True,False,True
Wayanad's deadly landslides: Why climate change can not be ignored,"Scientists noted a warmer atmosphere holds more moisture, leading to heavier rainfall. Quarrying and a substantial reduction in forest cover increased the risk of landslides, making such events more common as the climate warms.","""What evidence links climate change to the increase in deadly landslides in Wayanad?""",True,False,False
People born blind develop unique fingerprint-like pattern in the brain,A study led by Georgetown University neuroscientists reveals that the part of the brain that receives and processes visual information in sighted people develops a unique connectivity pattern in people born blind. They say this pattern in the primary visual cortex is unique to each person — akin to a fingerprint.,"""How do people born blind develop unique fingerprint-like patterns in the brain?""",True,False,True
Asteroid on which Earth crashed a spacecraft had a mysterious origin,"Still, the finding that Dimorphos is a rubble pile, after all, adds support to the idea that the asteroid was formed by material flung out from Didymos long ago, per the ESA. To reach its conclusions, the team simulated the DART crash and compared the results against what had been observed after the mission.","""What is the known origin of the asteroid that collided with the spacecraft?""",True,True,True
Scientists mind-control mice in world's first experiment,"In a world-first experiment, researchers at the Center for Nanomedicine within the Institute for Basic Science (IBS) and Yonsei University in South Korea have successfully demonstrated the ability to control specific brain regions in mice using magnetic fields.","""What was the method used in the world's first experiment to mind-control mice?""",True,True,True
Nisar  the joint Nasa-Isro mission  won't launch in 2024,"The NASA-ISRO SAR (NISAR) Mission will measure Earth's changing ecosystems, dynamic surfaces, and ice masses providing information about biomass, natural hazards, sea level rise, and groundwater, and will support a host of other applications.","""Is the Nisar mission, a joint NASA-ISRO project, scheduled to launch in 2024?""",True,False,False
July 21  2024 was the hottest day on Earth  record broken on July 22,"On 22 July 2024, the daily global average temperature reached a new record high in the ERA5 dataset*, at 17.16°C. This exceeds the previous records of 17.09°C, set just one day before on 21 July 2024, and 17.08°C, set a year earlier on 6 July 2023.","""What was the global average temperature on July 21, 2024, and how does it compare to previous records?""",True,True,False
Life on Earth began 1.5 years earlier than science previously estimated,"By studying the genomes of organisms that are alive today, scientists have determined that the last universal common ancestor (LUCA), the first organism that spawned all the life that exists today on Earth, emerged as early as 4.2 billion years ago. Earth, for context, is around 4.5 billion years old.","""What is the new estimated time for the beginning of life on Earth according to recent scientific findings?""",True,False,False
